geography,geographic_area_name,estimate_,margin_of_error_,estimate_citizen_born_in_us,margin_of_error_citizen_born_in_us,estimate_citizen_born_in_puerto_rico_orisland_areas,margin_of_error_citizen_born_in_puerto_rico_orisland_areas,estimate_citizen_born_abroad_of_american_parent_s_,margin_of_error_citizen_born_abroad_of_american_parent_s_,estimate_citizen_by_naturalization,margin_of_error_citizen_by_naturalization,estimate_not_a_citizen,margin_of_error_not_a_citizen,prop_citizen_born_in_us,prop_citizen_born_in_puerto_rico_orisland_areas,prop_citizen_born_abroad_of_american_parent_s_,prop_citizen_by_naturalization,prop_not_a_citizen
0500000US10001,"Kent County, Delaware",192690.0,*****,176354.0,3134.0,837.0,663.0,1460.0,701.0,8423.0,1915.0,5616.0,2331.0,0.9152213399761274,0.0043437645959831855,0.007576937049146297,0.043712699154081686,0.029145259224661373
0500000US10003,"New Castle County, Delaware",588093.0,*****,492358.0,7142.0,4788.0,1656.0,5602.0,2211.0,44420.0,3495.0,40925.0,5826.0,0.8372111213702594,0.008141569445648903,0.009525704267862397,0.07553227125641693,0.0695893336598123
0500000US10005,"Sussex County, Delaware",271134.0,*****,246714.0,3380.0,633.0,500.0,1588.0,675.0,10990.0,2561.0,11209.0,2881.0,0.9099338334550444,0.0023346389608090465,0.0058568825746678765,0.04053346315843826,0.041341181851040444
0500000US11001,"District of Columbia, District of Columbia",702250.0,*****,579997.0,7196.0,1406.0,648.0,12305.0,2204.0,47824.0,4247.0,60718.0,5720.0,0.8259124243503027,0.002002135991456034,0.017522249911000355,0.06810110359558562,0.08646208615165539
0500000US12001,"Alachua County, Florida",291782.0,*****,250397.0,4576.0,2932.0,1599.0,5512.0,1532.0,15252.0,2457.0,17689.0,3615.0,0.8581646571755626,0.01004859792584875,0.01889081574600215,0.052271901625185926,0.06062402752740059
0500000US12005,"Bay County, Florida",199718.0,*****,173920.0,3224.0,821.0,595.0,4675.0,1396.0,7191.0,1963.0,13111.0,3294.0,0.870827867292883,0.00411079622267397,0.023408005287455312,0.03600576813306763,0.06564756306392013
0500000US12009,"Brevard County, Florida",658447.0,*****,570682.0,6155.0,11929.0,2693.0,11280.0,2945.0,45103.0,3729.0,19453.0,3488.0,0.866709089721724,0.018116871972990993,0.01713121936921271,0.06849905914978731,0.029543759786285
0500000US12011,"Broward County, Florida",2037472.0,*****,1191876.0,19618.0,29363.0,3535.0,33525.0,5831.0,466956.0,16170.0,315752.0,16227.0,0.5849778549103988,0.014411486390978624,0.016454213849319155,0.2291840084182752,0.15497243643102826
0500000US12015,"Charlotte County, Florida",212122.0,*****,182553.0,3834.0,2472.0,1453.0,1921.0,1232.0,16176.0,2907.0,9000.0,3037.0,0.8606038034715872,0.011653671000650569,0.009056109220165753,0.07625800247027655,0.04242841383732003
0500000US12017,"Citrus County, Florida",170174.0,*****,158603.0,1904.0,1794.0,672.0,939.0,511.0,6160.0,1349.0,2678.0,1575.0,0.9320048891134955,0.01054215097488453,0.005517881697556619,0.03619824415010519,0.015736834063958066
0500000US12019,"Clay County, Florida",236760.0,*****,207628.0,4573.0,3318.0,2279.0,4454.0,1564.0,14012.0,2808.0,7348.0,2343.0,0.8769555668187193,0.014014191586416624,0.018812299374894408,0.059182294306470686,0.0310356479134989
0500000US12021,"Collier County, Florida",416233.0,*****,295500.0,5753.0,4568.0,2486.0,5045.0,1873.0,49887.0,4420.0,61233.0,5755.0,0.7099389044117117,0.01097462238698037,0.012120615136233793,0.11985354356814573,0.1471123144969284
0500000US12023,"Columbia County, Florida",73977.0,*****,69157.0,1859.0,56.0,74.0,435.0,477.0,2539.0,1154.0,1790.0,1277.0,0.934844613866472,0.0007569920380658854,0.005880206009976074,0.034321478297308625,0.024196709788177406
0500000US12031,"Duval County, Florida",1055159.0,*****,879439.0,11786.0,16117.0,3844.0,14603.0,2738.0,84653.0,8127.0,60347.0,10861.0,0.8334658568045195,0.01527447522126997,0.01383962037948783,0.08022771923473145,0.057192328359991246
0500000US12033,"Escambia County, Florida",331275.0,*****,304865.0,2643.0,1763.0,673.0,5761.0,1304.0,11140.0,1631.0,7746.0,2169.0,0.9202777148894423,0.005321862500943325,0.01739038563127311,0.03362765074334013,0.02338238623500113
0500000US12035,"Flagler County, Florida",136744.0,*****,115611.0,3179.0,1467.0,598.0,1281.0,654.0,15531.0,2955.0,2854.0,1191.0,0.845455742116656,0.01072807582051132,0.009367869888258351,0.11357719534312291,0.020871116831451472
0500000US12053,"Hernando County, Florida",218150.0,*****,188079.0,3655.0,4766.0,1566.0,2768.0,1276.0,15480.0,2723.0,7057.0,2248.0,0.8621544808617924,0.021847352738941096,0.01268851707540683,0.07096034838413935,0.032349300939720375
0500000US12055,"Highlands County, Florida",109778.0,*****,91295.0,2271.0,4144.0,1676.0,1296.0,787.0,6678.0,1478.0,6365.0,1824.0,0.8316329319171418,0.03774891143945053,0.011805644118129316,0.06083186066424967,0.057980651861028625
0500000US12057,"Hillsborough County, Florida",1581426.0,*****,1181367.0,13380.0,53356.0,5921.0,23595.0,3943.0,154276.0,8749.0,168832.0,12511.0,0.7470264179291348,0.033739169584918925,0.014920078460832186,0.0975549915076646,0.10675934251744944
